ImageID,photoPath,movieID
1,images\Ghosted.jpg,1
2,images\65.jpg,2
3,images\Shazam.jpg,3
4,images\wonka.jpg,4
5,images\me3an.jpg,5
6,images\ScreamVI.jpg,6
7,images\Close2022.jpg,7
8,images\BeforeSunset.jpg,8
9,images\melancholia.jpg,9
10,images\thesilence.jpg,10
11,images\bladerunner.jpg,11
12,images\se7en.jpg,12
13,images\paprika2006.jpg,13
14,images\aftersun2022.jpg,14
15,images\fearandloathing.jpg,15
16,images\oldboy.jpg,16
17,images\crouchingtiger.jpg,17
18,images\basicinstinct.jpg,18
19,images\crash1996.jpg,19
20,images\lahaine.jpg,20
21,images\tunnel2016.jpg,21
22,images\inside2023.jpg,22
23,images\pastlives2023.jpg,23
24,images\confession2015.jpg,24
